201701Dariya,3.375,4,26,-3,-1.285714286,-0.6,7,0,0
201701Dream Du Grand Val,3.333333333,5,26,-1,4.714285714,0,12,5,0
201704Red Tornado,2.25,11,4.5,-2,10.27272727,-0.78,0,0,0
201704Warranty,4.666666667,2,5.5,-7,9.272727273,-0.1,0,0,2
201704Lovely Lou Lou,5.5,6,8,-6,-3.727272727,-1.78,12,5,0
201704Shine Baby Shine,2.125,8,13,-4,-3.727272727,-1.78,19,5,0
201704Strict,5,10,15,-6,-5.727272727,-1.8,9,0,0
201704Severus Alexander,4.5,3,17,-6,7.272727273,0,0,0,0
201704Maison Dor,6.333333333,9,21,-4,-8.727272727,-1.2,13,5,0
201705Musahaba,4.666666667,9,3.5,-4,2.636363636,-0.2,6,0,0
201705Ventura Rascal,3.125,1,4.35,-4,2.636363636,-0.2,15,5,2
201705Zlatan,5,6,4.5,0,2.636363636,-0.2,12,5,0
201705Cote Dazur,5.25,2,9,0,2.636363636,-0.2,4,0,0
201705Billy Roberts,3.875,3,13,0,-5.363636364,-1.77,0,0,0
201705City Wanderer,4.75,10,15,-3,2.636363636,-0.2,10,0,0
201705Dreamseller,3.875,4,15,-3,-0.3636363636,-0.5,5,0,0
201705Irv,2.25,5,17,-3,4.636363636,0,13,5,0
201705Bibbidibobbidiboo,3.75,7,26,-2,-7.363636364,-1.79,25,5,0
201705Young John,3.625,8,26,0,0.6363636364,-0.4,13,5,0
201732Recon Mission,4.125,1,4,-7,2,-0.6,8,0,0
201732Spoof,4.375,6,4.35,-6,5,-0.3,26,5,2
201732Duke Of Firenze,2.625,3,4.5,0,-4,-0.8,10,0,0
201732Dark Shot,4.5,2,6,-4,-11,-1.5,8,0,0
201732Militia,2.75,4,6.5,-6,0,-1.57,4,0,0
201732Green Power,4.5,5,15,-6,8,0,9,0,0
201734Harrovian,2.375,7,5,-1,6.7,-0.3,#N/A,0,2
201734Blue Cup,3.625,5,5,-1,-1.3,-1.6,6,0,0
201734Victory Chime,2.375,1,7.5,0,3.7,-0.6,9,0,0
201734Sarvan,4.25,4,7.5,-2,-8.3,-1.4,10,0,0
201734Alfred Boucher,3.25,3,8,-1,-7.3,-1.3,8,0,0
201734Good Birthday,4.375,8,8.5,-1,-8.3,-1.4,20,5,0
201734Man Of The Night,2.875,6,13,-2,0.7,-1.58,15,5,0
201734Celtic Art,2,9,15,-2,1.7,-1.57,#N/A,0,0
201736Valyrian Steel,2,5,3,-4,-1,-0.5,25,5,0
201736Group One Power,3,1,3.5,-4,-6,-1.59,20,5,0
201736Galahad Threepwood,2.375,3,8,-4,0,-0.4,9,0,0
201736Amazing Red,3.875,4,8.5,0,3,-0.1,4,0,2
201737Il Bandito,3,3,6,0,3,-0.3,26,5,0
201737Siam Fox,4,6,7,0,4,-0.2,15,5,0
201737Coul Kat,2.857142857,2,7.5,0,-5,-1.78,9,0,0
201737Never Say When,4.333333333,7,8,0,0,-0.6,37,5,0
201737Dejame Paso,5,5,8.5,0,2,-0.4,20,5,0
201737Trevolli,4.75,8,10,0,2,-0.4,5,0,0
201737Patient Dream,3.75,1,11,0,0,-0.6,9,0,0
201737Dr T J Eckleburg,5.25,4,12,0,-12,-1.4,6,0,0
201739Costly Diamond,2.625,2,2.25,-2,-9.4,-1.8,6,0,0
201739Valence Daumont,3,1,4,-2,0.6,-0.3,9,0,0
201739Relkadam,3,4,4.33,-2,-1.4,-0.5,7,0,0
201739Instant Replay,3.142857143,3,6.5,0,6.6,-0.78,10,0,0
201740Ambassador,2.75,2,3,-6,7.333333333,-0.1,20,5,0
201740Burrows Diamond,4,1,4.33,-4,0.3333333333,-0.3,9,0,0
201740Naizagai,2.125,4,9,-6,6.333333333,-0.2,18,5,2
201740Fostersisland,2.833333333,3,9,-4,-1.666666667,-0.5,4,0,0
201740Check My Pulse,3,7,15,-5,6.333333333,-0.78,11,0,2
201740Countister,6.714285714,6,15,-1,1.333333333,-0.2,19,5,0
201740Coral Blue,6.428571429,8,21,-4,1.333333333,-0.2,10,0,0
201740Seaborough,5.333333333,5,34,-4,-11.66666667,-1.1,4,0,0
201741Road Warrior,3.125,1,3,-2,6.125,-1.1,11,0,0
201741Getariver,3.714285714,2,3.75,-1,8.125,-1.08,20,5,0
201741Martila,4,8,6.5,0,4.125,-0.4,7,0,0
201741Tico Times,3,4,6.5,-1,-3.875,-1.2,15,5,0
201741Demi Sang,4,3,7.5,-1,12.125,0,19,5,0
201741High Noon,3.142857143,7,15,0,-12.875,-1.7,4,0,0
201741Muroor,4.285714286,5,26,-1,-17.875,-2.2,7,0,0
201741Wolfcatcher,4,6,26,0,4.125,-0.4,13,5,0
201742Snowy Burrows,5.285714286,4,2.62,-3,-7.666666667,-0.6,11,0,0
201742Millie The Minx,3.875,1,5.5,-1,2.333333333,0,15,5,0
201742Dubai Guest,4,5,8,-2,11.33333333,-0.09,14,5,0
201742Flexi Furlough,3.333333333,2,8.5,-3,12.33333333,-0.08,12,5,0
201742Neds Escape,3.5,7,9,-2,-1.666666667,-1.08,7,0,0
201742Rockliffe,5.625,6,13,0,-10.66666667,-0.9,4,0,0
201742Golden Chancer,3.666666667,3,26,-1,-13.66666667,-1.2,10,0,0
201742Glory,3.8,8,51,-3,12.33333333,-0.08,7,0,0
201743Just A Sip,4.625,2,2.5,-6,13,-0.483,8,0,2
201743Midnight Jewel,3,4,4,-7,-9,-1.3,12,5,0
201743Tamango,2.833333333,3,7,-7,-4,-0.8,14,5,0
201743Kilganer Queen,3.714285714,1,9,-1,8,0,11,0,0
201743Buttevant Lady,3.2,6,11,-4,-1,-1.49,0,0,0
201743Ever So Much,3.833333333,8,11,0,14,-0.48,19,5,2
201743Storm Force One,5.75,7,21,-7,1,-1.47,6,0,0
201743Kisumu,6.625,5,34,-3,-12,-1.6,4,0,0
201746Tilsitt,4.875,4,3.25,-2,4.375,-0.1,13,5,2
201746Straitouttacompton,3.75,6,5,-1,5.375,0,13,5,2
201746Star Of St James,2.75,5,5.5,-2,4.375,-0.1,15,5,2
201746Curtiz,4.75,1,7,-2,-4.625,-1.59,14,5,0
201746Revolutionary Man,2.375,2,8.5,0,-0.625,-0.6,8,0,0
201746Bond Angel,3.375,7,11,0,0.375,-0.5,8,0,0
201746Cruising,4.5,8,11,-2,4.375,-0.1,15,5,2
201746Van Dijk,2.625,3,21,-2,-13.625,-1.5,10,0,0
201747Shes A Deva,7,3,4,0,-2.454545455,-0.9,5,0,0
201747Upside Down,3.875,5,4.5,0,2.545454545,-0.4,10,0,0
201747Twice Adaay,4,2,5,0,4.545454545,-0.2,3,0,0
201747The Queens Ladies,5.125,8,7.5,0,-4.454545455,-1.78,21,5,0
201747Royal Jazz,6.75,4,15,0,3.545454545,-0.3,23,5,0
201747Sugar Angel,3.75,11,34,0,-4.454545455,-1.78,10,0,0
201748Travel Lightly,3.5,3,2.88,0,2.571428571,-0.2,8,0,2
201748Trinity Girl,3,4,4.33,-2,5.571428571,0,7,0,2
201748Soldier On Parade,3.875,6,4.5,-2,2.571428571,-0.3,17,5,2
201748Little India,2.625,2,8.5,-1,0.5714285714,-0.4,19,5,0
201748Tigray,4,5,10,-1,2.571428571,-0.2,9,0,2
201748Cold Harbour,3.25,1,21,0,-12.42857143,-1.3,8,0,0
201749Stars In The Night,3.5,1,3,-5,4.714285714,0,15,5,0
201749Scale Force,2.25,2,4.5,-4,1.714285714,-0.35,10,0,0
201749Canford Bay,3.875,5,6.5,-2,2.714285714,-0.25,10,0,0
201749Agent Shiftwell,5,6,7,-5,-4.285714286,-1.72,18,5,0
201749Doc Sportello,1.625,4,13,0,3.714285714,-0.15,8,0,0
201749Qaaraat,3.125,3,13,-3,-10.28571429,-1.15,10,0,0
201749Fine Wine,4,7,15,-5,1.714285714,-0.35,8,0,0
201750Dark Side Prince,3.375,1,2.75,-5,3.777777778,0,7,0,2
201750Red Allure,3.375,8,4.5,-3,2.777777778,-0.1,4,0,2
201750Big Impact,7.125,2,6,-5,2.777777778,-0.1,8,0,0
201750Blackcurrent,4.25,3,6.5,-4,2.777777778,-0.1,15,5,2
201750De Latour,5.5,7,9.5,-4,-3.222222222,-0.7,0,0,0
201750Raabeh,5.25,5,11,-5,0.7777777778,-0.3,10,0,0
201750Hot Hot Hot,3.625,4,34,-5,-1.222222222,-0.5,8,0,0
201750Hurricane Alert,6.75,6,101,0,-4.222222222,-1.57,0,0,0
201752En Couleur,5.333333333,5,3.75,-2,2.333333333,0,8,0,0
201752Fortultous,4.571428571,9,4.5,-2,1.333333333,-0.1,6,0,0
201752Temur Khan,5.375,6,5.5,0,-0.6666666667,-0.3,8,0,0
201752Sociologist,4.375,2,7.5,0,2.333333333,0,8,0,0
201752Contingency Fee,4,3,11,0,0.3333333333,-0.2,14,5,0
201752Grimsthorpe Castle,3.75,7,11,-2,2.333333333,0,9,0,0
201752Compass Point,4.125,1,12,0,-4.666666667,-0.7,8,0,0
201752Toscan Genius,7,4,23,-2,-3.666666667,-0.6,13,5,0
201772Blastofmagic,2.625,3,4.33,-1,-10.2,-2.09,#N/A,0,0
201772Motbeq,3.75,7,5.5,-4,-4.2,-0.9,#N/A,0,0
201772Tassel Flower,4,15,5.5,-5,-1.2,-2.1,#N/A,0,0
201772Inventor,4.75,1,9,-4,5.8,-1.07,#N/A,0,0
201772Chocquinto,1.375,5,10,-4,8.8,0,#N/A,0,0
201772Mienvee Flyer,4,10,13,-4,-5.2,-1,#N/A,0,0
201772Passaggi,6,4,17,-4,-1.2,-0.6,#N/A,0,0
201772Attelboro,2.333333333,6,29,-5,2.8,-1.2,#N/A,0,0
201772Rapid Russo,5.375,11,29,-4,4.8,-1.08,#N/A,0,0
201772Polly Douglas,3.875,14,41,0,-5.2,-1,#N/A,0,0
201772Niamh Elizabeth,3.25,2,41,-5,1.8,-2.07,#N/A,0,0
201772Una Vis,0,12,67,-4,-11.2,-2.1,#N/A,0,0
201773Indigo Balance,5.375,1,3.75,-4,7,-0.99,0,0,0
201773Primo Uomo,6.125,10,6,0,11,0,#N/A,0,0
201773Grammata,4,9,6,-6,3,-1.99,#N/A,0,0
201773Thats Mad,3.5,3,6.5,-4,-10,-1.3,#N/A,0,0
201773Mi Esperanza,3.375,2,7.5,-4,-12,-1.5,#N/A,0,0
201773Jungle Jane,4.625,7,8.5,-4,7,-0.99,#N/A,0,0
201773Inflection Point,2.125,5,9,-4,10,-0.1,#N/A,0,2
201773Illetas,2.285714286,8,29,-5,-11,-1.4,#N/A,0,0
201773Only Spoofing,3.875,6,41,-2,2,-0.5,#N/A,0,0
201776Samaritaine,5.25,14,4.35,-5,5,-1.09,#N/A,0,0
201776Kew Palace,5.428571429,2,6.5,-5,8,-0.2,#N/A,0,0
201776No Way Jack,3.125,4,8.5,0,-2,-0.8,#N/A,0,0
201776Take My Hand,3.5,7,9,-5,10,0,#N/A,0,0
201776Pulsating,5.25,13,15,-2,8,-0.2,#N/A,0,0
201776Autumn Mist,3,10,15,-4,-4,-1,#N/A,0,0
201776Praying Mantis,3.625,3,15,-5,-8,-2.08,#N/A,0,0
201776Is Fantastic,3.375,9,15,-4,-5,-1.1,#N/A,0,0
201776Dragon Belle,1.142857143,5,34,-3,-8,-2.08,#N/A,0,0
201776Basrah Breeze,3.375,12,34,-4,-8,-2.08,#N/A,0,0
201776Quick Quick,5,15,41,-5,1,-0.5,#N/A,0,0
201776Thekeyisnottopanic,2.8,6,67,-5,-6,-1.2,#N/A,0,0
201777Pinpointed,2.2,1,3.75,-6,-2.526315789,-0.6,#N/A,0,0
201777Musalsal,4.875,6,3.75,-5,4.473684211,-1.07,#N/A,0,0
201777Matilda With Me,3.125,2,5,-6,-2.526315789,-0.6,#N/A,0,0
201777Power Of Lazarus,3.625,7,11,-6,-8.526315789,-1.2,#N/A,0,0
201777Aussie Valentine,4.5,10,11,0,5.473684211,-0.2,0,0,0
201777Dark Kris,4.125,11,13,-6,7.473684211,0,#N/A,0,0
201777Fall For A Kiss,3.875,5,17,-5,-5.526315789,-0.9,#N/A,0,0
201777Acari,2.625,4,21,-3,0.4736842105,-0.3,#N/A,0,0
201777Eloy Damerval,3.25,12,26,-6,4.473684211,-1.07,#N/A,0,0
201777Canning,4.125,8,26,-5,7.473684211,0,#N/A,0,0
201777Spring Morning,3,3,29,-6,-1.526315789,-0.5,#N/A,0,0
201777Dark Design,3,14,34,-6,-4.526315789,-0.8,#N/A,0,0
